C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\orm\state.py:537: size=472 B, count=1, average=472 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\engine\base.py:2675: size=472 B, count=1, average=472 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:651: size=472 B, count=1, average=472 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\function_base.py:142: size=472 B, count=1, average=472 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\function_base.py:135: size=472 B, count=1, average=472 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\function_base.py:130: size=472 B, count=1, average=472 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\colorama\ansitowin32.py:170: size=472 B, count=1, average=472 B
C:\Users\shash\Desktop\btp\backend\utils.py:377: size=472 B, count=1, average=472 B
C:\Users\shash\Desktop\btp\backend\utils.py:331: size=472 B, count=1, average=472 B
C:\Users\shash\anaconda3\envs\lab\lib\subprocess.py:1149: size=464 B, count=1, average=464 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\models\googlenet.py:227: size=464 B, count=1, average=464 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:625: size=464 B, count=1, average=464 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\pool\base.py:1519: size=464 B, count=1, average=464 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:2901: size=464 B, count=1, average=464 B
C:\Users\shash\Desktop\btp\backend\process.py:41: size=464 B, count=1, average=464 B
C:\Users\shash\anaconda3\envs\lab\lib\threading.py:1111: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\threading.py:1089: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\werkzeug\urls.py:168: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\werkzeug\http.py:330: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\transforms.py:269: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:360: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\engine\base.py:2697: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\numerictypes.py:417: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\itsdangerous\signer.py:209: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\itsdangerous\serializer.py:207: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:2843: size=456 B, count=1, average=456 B
C:\Users\shash\Desktop\btp\backend\utils.py:365: size=456 B, count=1, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\werkzeug\wrappers\request.py:305: size=448 B, count=1, average=448 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\models\googlenet.py:275: size=448 B, count=1, average=448 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\pool\base.py:1040: size=448 B, count=1, average=448 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\utils.py:250: size=448 B, count=1, average=448 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:99: size=448 B, count=1, average=448 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\itsdangerous\signer.py:210: size=448 B, count=1, average=448 B
